Guid,AccountId,SuppliedName,SuppliedPhone,SuppliedCompany,Type,Status,Reason,Subject,Priority,Description,ClosedDate,IsEscalated,Comments,Application__c,TypeDetail__c
966abf4c-3c5b-452f-9611-7fe62804827d,8a398a6c-75ea-42a5-8f06-b4f29da62562,#N/A,#N/A,#N/A,Question,Pending Approval,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
d5e9c5ec-b4c9-4283-944f-a611b299eb35,a3e87acf-b1f5-4cdd-a1c2-9ba65a993ce5,#N/A,#N/A,#N/A,Feature Request,New,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
86cf7174-35d8-4c97-a39a-cfabb2799466,929614ff-c622-499b-8a68-d7f111eec76d,#N/A,#N/A,#N/A,Feature Request,Approved,New problem,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,#N/A,false,#N/A,#N/A,#N/A
8f34063b-fd25-4872-8c83-2f6c974f4dfa,7be5788b-b87b-480f-88a1-fd966ade7ac6,#N/A,#N/A,#N/A,Feature Request,Escalated,New problem,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,#N/A,false,#N/A,#N/A,#N/A
179ec680-ac84-43ed-9c59-270c44324363,92dca97c-7716-40c3-9f03-2a7507dd733b,#N/A,#N/A,#N/A,Feature Request,New,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
3b5f9add-b81a-46de-b4a8-32bc8d221a5e,6e9e4e46-cfe6-4cc2-9674-2214593afeaa,#N/A,#N/A,#N/A,Problem,Pending Approval,New problem,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,#N/A,false,#N/A,#N/A,#N/A
66c44ee1-3119-494a-88fb-ef184c5ca258,4ed5c089-8727-49b0-a443-c6b31069938f,#N/A,#N/A,#N/A,Feature Request,New,New problem,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,#N/A,false,#N/A,#N/A,#N/A
f2585d79-47a9-486d-aadb-be54a4c74614,a5566fd1-1242-4470-b5c2-fc5c64a3a863,#N/A,#N/A,#N/A,Question,On Hold,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
e2283a4e-01e6-4f6d-b987-2d11e047e513,2095f251-f2c9-4527-a8be-abcac6a29ebd,#N/A,#N/A,#N/A,Feature Request,Escalated,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
f650d870-44b7-432e-aa6e-713c09c9a7f0,18849aff-d930-4d82-8b0b-19ffeb5e82c0,#N/A,#N/A,#N/A,Feature Request,On Hold,New problem,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,#N/A,false,#N/A,#N/A,#N/A
cdf2f162-ffa8-41a4-8777-29bdb3dffeb9,0938a1cc-70d6-4bcd-b7d7-890a7891544d,#N/A,#N/A,#N/A,Feature Request,New,Instructions not clear,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,#N/A,false,#N/A,#N/A,#N/A
a3e1c19c-7186-4479-b4cb-02bcffe50e9f,ebcd2db4-7c06-4fdd-9cc5-4cb4582bb147,#N/A,#N/A,#N/A,Feature Request,Pending Approval,#N/A,Update product list,Medium,#N/A,#N/A,false,#N/A,#N/A,#N/A
324a2f6e-bd59-4301-9a91-c4eb12eb6eb6,809a7c29-0134-4501-8765-9e3068a46055,#N/A,#N/A,#N/A,Feature Request,Rejected,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,#N/A,false,#N/A,#N/A,#N/A
df613446-8579-4d4c-869e-8614f86d4aae,18973a35-a6a4-4677-80bd-9e68134f50b6,#N/A,#N/A,#N/A,Question,Closed,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,2024-08-21T17:25:56.000Z,false,#N/A,#N/A,#N/A
0e98dccf-8e5c-4b8d-837a-256de7eea68b,db97d66d-1e0b-4e65-8b5e-b75f26a48f1d,#N/A,#N/A,#N/A,Question,On Hold,New problem,New Salesforce.com Instance,Medium,User Needs Help,#N/A,false,#N/A,#N/A,#N/A
a7312ed9-d0ae-4944-bbe4-83244064a46f,99b9aa65-92da-4d12-bdff-f1a2cf8a2923,#N/A,#N/A,#N/A,Problem,Approved,New problem,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,#N/A,false,#N/A,#N/A,#N/A
07f8b9ef-6ba7-42ef-9818-d518235f857a,92dca97c-7716-40c3-9f03-2a7507dd733b,#N/A,#N/A,#N/A,Feature Request,Pending Approval,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
f7e393a5-c4b5-4394-a1a4-d4c6873a8928,d743336f-4ead-4ddb-986c-8c3629e0e8a0,#N/A,#N/A,#N/A,Feature Request,Escalated,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
16bb183c-721e-4cc4-a9b6-3919fa992444,7cdc7de7-12ab-47c6-b059-3d44c9b94cee,#N/A,#N/A,#N/A,Feature Request,Rejected,New problem,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,#N/A,false,#N/A,#N/A,#N/A
d5032cfb-395a-4863-afd0-943c6e75a47f,9d558da1-1efe-4f2d-8da5-8a3496d78d5b,#N/A,#N/A,#N/A,Feature Request,Pending Approval,New problem,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,#N/A,false,#N/A,#N/A,#N/A
41065baa-5908-434e-ac01-3d2d0bde3e41,04239a23-58bf-478e-80f3-3e3c8d8c08b9,#N/A,#N/A,#N/A,Feature Request,On Hold,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
69cde211-190b-46a1-81d7-13d2f4ec8785,bd8358df-49a9-49db-956f-2f1ba5ed461e,#N/A,#N/A,#N/A,Feature Request,Escalated,Instructions not clear,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,#N/A,false,#N/A,#N/A,#N/A
70e4d7b9-eccb-4574-b9f6-02f4689918fb,caf51328-8769-4593-893b-04e2b34a246f,#N/A,#N/A,#N/A,Feature Request,Escalated,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
b42d809a-c328-4127-97d1-689ee9d764bd,ebcd2db4-7c06-4fdd-9cc5-4cb4582bb147,#N/A,#N/A,#N/A,Problem,Approved,User didn't attend training,How to use parameters,Medium,User Needs Help,#N/A,false,#N/A,#N/A,#N/A
073031d8-e56a-4a1f-8710-0c628e55d440,0fb4f72a-97f5-4c3f-99f6-250c336a8e34,#N/A,#N/A,#N/A,Feature Request,On Hold,New problem,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,#N/A,false,#N/A,#N/A,#N/A
f5118bb3-a96c-4296-8aca-3fce6939ce72,caf51328-8769-4593-893b-04e2b34a246f,#N/A,#N/A,#N/A,Problem,On Hold,New problem,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,#N/A,false,#N/A,#N/A,#N/A
0d8ac473-6967-4da5-865a-be74e2e85df2,4caef2a9-36d3-4605-aaa6-ad78903a9559,#N/A,#N/A,#N/A,Feature Request,Rejected,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
409ab9a2-d7c7-4d8c-90e9-5cf330b9b093,7be5788b-b87b-480f-88a1-fd966ade7ac6,#N/A,#N/A,#N/A,Feature Request,On Hold,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,#N/A,false,#N/A,#N/A,#N/A
350f102c-5931-494c-b3ce-2d5a001016ce,83f11b7d-7308-447d-8fd3-a9cd4494668b,#N/A,#N/A,#N/A,Problem,On Hold,New problem,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,#N/A,false,#N/A,#N/A,#N/A
1055ec2c-337e-4097-8a58-6d568e42107e,cb99af38-cf2a-45e1-ac99-4530f0d87f7a,#N/A,#N/A,#N/A,Feature Request,On Hold,Instructions not clear,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,#N/A,false,#N/A,#N/A,#N/A
a78b95ba-101c-4590-b7bb-63645b414e79,2be5173b-2455-4ecc-968d-e622a896cfe2,#N/A,#N/A,#N/A,Feature Request,New,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
79a21c11-5e35-4b0a-bc4d-0576f9a07d2f,18973a35-a6a4-4677-80bd-9e68134f50b6,#N/A,#N/A,#N/A,Question,On Hold,Existing problem,Demo for Partner,Medium,User Needs Help,#N/A,false,#N/A,#N/A,#N/A
d68cb0c6-ae58-4e67-bb4a-a8487d625933,e470b34f-02f6-4acd-9fdd-116680c39b2b,#N/A,#N/A,#N/A,Problem,Pending Approval,User didn't attend training,Error Message,Medium,EMEA Case,#N/A,false,#N/A,#N/A,#N/A
644774cf-a79d-4a47-a10f-0d8165b568da,d6c6df1b-d142-4bbc-a65f-f55e76531878,#N/A,#N/A,#N/A,Feature Request,New,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,#N/A,false,#N/A,#N/A,#N/A
c3bd2646-6938-4204-9d66-21a20f8d21ca,4ed5c089-8727-49b0-a443-c6b31069938f,#N/A,#N/A,#N/A,Question,Escalated,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
e41ce6d4-a6f7-48a9-970e-0a76ebdededf,1e7201f0-3122-4f6d-93f7-6e3a536798c7,#N/A,#N/A,#N/A,Feature Request,New,New problem,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,#N/A,false,#N/A,#N/A,#N/A
4d0905df-afdc-40e3-bb65-95ce2f666ab9,b87dad07-fad3-444d-8f0a-6fd1d89f91fb,#N/A,#N/A,#N/A,Feature Request,Rejected,Instructions not clear,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,#N/A,false,#N/A,#N/A,#N/A
ea365cc6-9146-4fb5-891c-2d5ac9554744,71380217-6fe7-4fae-bf50-646258373013,#N/A,#N/A,#N/A,Feature Request,Approved,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
d8ff5fe3-9734-4127-9bf2-c6abd1e780b6,75d0e60f-b11c-476f-89e3-bcd2c10821fa,#N/A,#N/A,#N/A,Feature Request,Rejected,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,#N/A,false,#N/A,#N/A,#N/A
236f9eef-9adc-42cc-9560-e7535c9ca013,0ac1f6e6-8143-4f40-989f-f1a8e10f8c42,#N/A,#N/A,#N/A,Feature Request,Approved,New problem,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,#N/A,false,#N/A,#N/A,#N/A
408a1ea6-a89b-4931-b36f-5f3dece7a0a2,fa1f59b6-baeb-46d0-9fb8-e94cfaa878d3,#N/A,#N/A,#N/A,Feature Request,New,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,#N/A,false,#N/A,#N/A,#N/A
f44d1799-de17-4d54-af92-f27903126c8d,90c17308-dd04-4d27-ba07-2043e772f31e,#N/A,#N/A,#N/A,Feature Request,New,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
b65cb8f4-78ae-47d2-b211-1944e481a159,8b1ce99a-f3e0-4d57-b0a2-da6baaac12db,#N/A,#N/A,#N/A,Feature Request,On Hold,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
2157ffad-31ca-40eb-9581-66b237e97151,4ea4dbe1-6a2e-400d-aaf6-7b16d3e4addd,#N/A,#N/A,#N/A,Problem,Closed,New problem,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,2024-08-21T17:26:05.000Z,false,#N/A,#N/A,#N/A
0359d786-9427-444e-b9fe-76cc97cb5199,5fec6d31-0cec-472f-8092-650994f7426f,#N/A,#N/A,#N/A,Feature Request,On Hold,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
e9641f0a-f54a-4b41-8ca0-ad01edfeca68,75d0e60f-b11c-476f-89e3-bcd2c10821fa,#N/A,#N/A,#N/A,Feature Request,On Hold,Complex functionality,Expand Template Functionality,Medium,Prefers Direct Phone Outreach,#N/A,false,#N/A,#N/A,#N/A
d106d74f-9a16-43b7-bb40-d8da5a1d674a,90c17308-dd04-4d27-ba07-2043e772f31e,#N/A,#N/A,#N/A,Question,Approved,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
ecd14311-dd93-4d63-b2f7-07ebff809799,755bc092-0d33-4c7b-be65-7dc9ec458766,#N/A,#N/A,#N/A,Question,New,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
96300699-987b-4841-94f2-49b050ffe602,0ac1f6e6-8143-4f40-989f-f1a8e10f8c42,#N/A,#N/A,#N/A,Feature Request,Pending Approval,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,#N/A,false,#N/A,#N/A,#N/A
ada2d15f-a663-4940-9a81-82387f037b56,efde0613-0606-490f-a795-14d7f5dd98c5,#N/A,#N/A,#N/A,Feature Request,On Hold,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
2d10af5c-47df-446a-85f6-86ef29c1c426,2bf33df0-1ef1-4e67-87f1-4ab40cc4f13f,#N/A,#N/A,#N/A,Feature Request,Pending Approval,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
a689c8c8-bd0d-4a55-b47a-a34a24325d43,d85202b5-5ab4-4d1d-9118-2a29fcded4c5,#N/A,#N/A,#N/A,Problem,Rejected,User didn't attend training,Unable to parse query ids,Medium,User Needs Help,#N/A,false,#N/A,#N/A,#N/A
6b60f67d-43fc-42ba-8c5d-ddb718a24c8e,d221d4bb-3efe-4d72-bf12-0751eb4a9296,#N/A,#N/A,#N/A,Feature Request,Approved,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
a00c1c93-3385-4d65-9015-640ff6fc9374,bd8358df-49a9-49db-956f-2f1ba5ed461e,#N/A,#N/A,#N/A,Feature Request,Rejected,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
c68326fe-44be-4787-8678-08e81cbbdba3,bedbb742-81b5-422f-b1d8-e7c9efcbadea,#N/A,#N/A,#N/A,Feature Request,On Hold,Instructions not clear,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,#N/A,false,#N/A,#N/A,#N/A
5a9ca969-9984-4f3e-b6b7-e076ed5c46de,d221d4bb-3efe-4d72-bf12-0751eb4a9296,#N/A,#N/A,#N/A,Question,Closed,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,2024-08-21T17:26:10.000Z,false,#N/A,#N/A,#N/A
ab6cc7b6-7955-4c8b-bbea-8403e7e73ec6,3caa8188-678e-41d3-957a-7390d5dac12d,#N/A,#N/A,#N/A,Feature Request,Pending Approval,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
93ad0e75-9439-4619-949c-142241253491,cb99af38-cf2a-45e1-ac99-4530f0d87f7a,#N/A,#N/A,#N/A,Feature Request,Rejected,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,#N/A,false,#N/A,#N/A,#N/A
1d90628d-e886-4f89-87d0-cb0a94f8d6dc,fa522d04-105c-4ae1-8e04-b716a1e04e7e,#N/A,#N/A,#N/A,Problem,Escalated,New problem,Faulty widget,Medium,Prefers Direct Phone Outreach,#N/A,false,#N/A,#N/A,#N/A
73e8a443-2fb5-489d-81a2-47c934e6b1fa,c91c50b4-db69-485d-bd15-dffd96652dab,#N/A,#N/A,#N/A,Feature Request,Rejected,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
98a0fb39-c7a1-487c-812e-009062d7814b,edb93323-3ab0-4115-9081-114bd6bfd23a,#N/A,#N/A,#N/A,Problem,Approved,New problem,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,#N/A,false,#N/A,#N/A,#N/A
9ca23d30-d5e3-4908-9067-6688761fe0a8,9d558da1-1efe-4f2d-8da5-8a3496d78d5b,#N/A,#N/A,#N/A,Problem,Pending Approval,Complex functionality,Problem in   Scheduled Event,Medium,Prefers Direct Phone Outreach,#N/A,false,#N/A,#N/A,#N/A
007a4a28-82fe-420b-aab7-aa725997caad,fcb50842-1311-422f-9d5d-77db7ce3073e,#N/A,#N/A,#N/A,Feature Request,New,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
b525ea86-3df5-4a26-a8a6-3c58dab6afc8,fcb50842-1311-422f-9d5d-77db7ce3073e,#N/A,#N/A,#N/A,Feature Request,Rejected,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
b2bec419-a9c8-4ea6-9ccf-9c07bfedc5b6,d18d8a1f-ad3e-49e8-9d15-0f931e4a3180,#N/A,#N/A,#N/A,Problem,Closed,New problem,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,2024-08-21T17:26:05.000Z,false,#N/A,#N/A,#N/A
e8ecc37e-f1de-4b25-bc47-16308f077cea,ab64517f-1f3b-47a7-a1fd-8ecea56da292,#N/A,#N/A,#N/A,Feature Request,On Hold,Instructions not clear,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,#N/A,false,#N/A,#N/A,#N/A
cb4641cc-8b77-4ee2-84df-a0296f056208,efde0613-0606-490f-a795-14d7f5dd98c5,#N/A,#N/A,#N/A,Feature Request,New,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
bf2e2391-1aed-401b-878e-3aa83f2a474a,961b9f89-59dc-4218-a555-f62a832bad7f,#N/A,#N/A,#N/A,Feature Request,Escalated,Instructions not clear,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,#N/A,false,#N/A,#N/A,#N/A
57dfd937-ec31-48cc-9fa3-e13681fc52bb,4caef2a9-36d3-4605-aaa6-ad78903a9559,#N/A,#N/A,#N/A,Feature Request,Escalated,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
11861266-090a-433b-ae65-820781f73824,906989b6-d4e8-4482-b2df-7066a0403f99,#N/A,#N/A,#N/A,Feature Request,Escalated,Instructions not clear,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,#N/A,false,#N/A,#N/A,#N/A
8c20abbf-e3c1-48d0-9954-d641aa899a83,10f4e9b4-25b7-491c-baf8-f91fe338fe9b,#N/A,#N/A,#N/A,Feature Request,New,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
6f373caf-a422-4998-8c2e-5f0435a6425b,7f2551b2-699d-48db-8080-6acc33b78454,#N/A,#N/A,#N/A,Feature Request,Escalated,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
3e7f069e-cb91-4d38-b2d2-a1767036d34d,fcb50842-1311-422f-9d5d-77db7ce3073e,#N/A,#N/A,#N/A,Feature Request,New,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
9df2638d-5942-473c-8bff-495226d594c6,18849aff-d930-4d82-8b0b-19ffeb5e82c0,#N/A,#N/A,#N/A,Question,On Hold,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
0326b734-25ad-4c01-96b8-b34355607429,32c87a3c-389d-4063-b28f-0dc183a500aa,#N/A,#N/A,#N/A,Feature Request,Escalated,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
d8b2cd40-04f8-4a71-9aa3-cfdbaf8cffcb,94489879-3e39-405e-97ee-314269e20b3e,#N/A,#N/A,#N/A,Feature Request,Rejected,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
bda0865d-29c5-4cc1-b6c0-63451c095c99,943e4f51-4cb0-4e29-8f1f-9b9f59de220f,#N/A,#N/A,#N/A,Feature Request,Closed,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,2024-08-21T17:26:08.000Z,false,#N/A,#N/A,#N/A
d1c65197-277c-4660-a1f0-b783d196f1c2,d743336f-4ead-4ddb-986c-8c3629e0e8a0,#N/A,#N/A,#N/A,Feature Request,Pending Approval,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
081c38bb-ede4-4527-bde6-af69e12a95cc,94489879-3e39-405e-97ee-314269e20b3e,#N/A,#N/A,#N/A,Feature Request,Pending Approval,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
339a70e5-d215-4df4-8313-69b90dc1eeec,376950b9-6649-4440-a8f2-e3e6d8431ebc,#N/A,#N/A,#N/A,Feature Request,Pending Approval,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
19d974d3-e785-433b-8d9f-5160c6a91376,9d558da1-1efe-4f2d-8da5-8a3496d78d5b,#N/A,#N/A,#N/A,Feature Request,On Hold,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
66b6546b-3d3a-4bc0-9f92-973af524fd8c,fac2c8f6-07bf-4cc2-a4df-6a0b9359521d,#N/A,#N/A,#N/A,Problem,On Hold,New problem,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,#N/A,false,#N/A,#N/A,#N/A
29816659-7387-47fd-b411-201394b98563,8b1ce99a-f3e0-4d57-b0a2-da6baaac12db,#N/A,#N/A,#N/A,Problem,Approved,New problem,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,#N/A,false,#N/A,#N/A,#N/A
443d4eac-9df0-43a5-a223-6b53410d0d8e,5e93e5fe-0c50-4615-8bf6-39546b6cbfaf,#N/A,#N/A,#N/A,Question,Approved,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
5e86b702-d9b9-4f23-ba92-4650b84ed2ab,9446991c-b83f-4fe9-9a8d-13aea6ae111f,#N/A,#N/A,#N/A,Feature Request,Escalated,New problem,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,#N/A,false,#N/A,#N/A,#N/A
54347b0a-095f-4ffc-9cc6-a82739147505,7e0cf815-fe66-4847-a9e2-d8aa46f5751e,#N/A,#N/A,#N/A,Problem,On Hold,New problem,Table Grouping in Excel,Medium,EMEA Case,#N/A,false,#N/A,#N/A,#N/A
